User_ID,Cust_name,Product_ID,Gender,Age Group,Age,Marital_Status,State,Zone,Occupation,Product_Category,Orders,Amount,Status,unnamed1
1000033,Customer_32,P01999,M,26-35,31,1,Delhi,Central,Agriculture,Electronics & Gadgets,1,4203.09,,
1000034,Customer_33,P07834,M,36-45,42,0,Delhi,Central,Banking,Clothing & Apparel,1,4678.67,,
1000035,Customer_34,P01367,M,26-35,32,1,Delhi,Central,IT Sector,Veterinary,1,5888.44,,
1000036,Customer_35,P01628,M,26-35,28,1,Maharashtra,Western,IT Sector,Electronics & Gadgets,3,2362.89,,
1000037,Customer_36,P03656,M,36-45,41,1,Delhi,Central,Banking,Food,3,2557.31,,
1000038,Customer_37,P03990,M,55+,57,0,Uttar Pradesh,Central,IT Sector,Footwear & Shoes,4,22989.02,,
1000039,Customer_38,P08938,F,26-35,28,0,Rajasthan,Western,Textile,Tupperware,3,13623.49,,
1000040,Customer_39,P05493,M,26-35,31,0,Uttar Pradesh,Central,IT Sector,Veterinary,2,15455.36,,
1000041,Customer_40,P08892,F,36-45,42,0,Rajasthan,Western,Banking,Veterinary,4,7210.58,,
1000042,Customer_41,P08533,F,36-45,42,1,Haryana,Northern,Govt,Tupperware,3,5632.78,,
1000043,Customer_42,P07613,M,46-50,48,1,Uttar Pradesh,Central,Automobile,Electronics & Gadgets,3,2771.82,,
1000044,Customer_43,P02712,M,36-45,39,0,Haryana,Northern,Govt,Office,2,8533.11,,
1000045,Customer_44,P07141,F,18-25,20,0,Andhra Pradesh,Southern,IT Sector,Furniture,2,12880.61,,
1000046,Customer_45,P09655,M,55+,58,0,Uttar Pradesh,Central,Banking,Clothing & Apparel,3,3744.36,,
1000047,Customer_46,P06335,F,36-45,40,1,Tamil Nadu,Southern,Aviation,Clothing & Apparel,3,5943.37,,
1000048,Customer_47,P05586,F,46-50,47,0,Andhra Pradesh,Southern,IT Sector,Footwear & Shoes,3,22972.79,,
1000049,Customer_48,P07199,F,36-45,38,0,Karnataka,Southern,Aviation,Stationery,3,16850.42,,
1000050,Customer_49,P09770,F,46-50,46,0,Haryana,Northern,Govt,Food,4,14807.55,,
1000051,Customer_50,P00875,F,18-25,24,1,Uttar Pradesh,Central,IT Sector,Footwear & Shoes,4,2321.87,,
1000052,Customer_51,P08326,F,26-35,28,0,Madhya Pradesh,Central,IT Sector,Clothing & Apparel,4,3448.13,,
1000053,Customer_52,P03252,F,46-50,48,1,Uttar Pradesh,Central,IT Sector,Electronics & Gadgets,3,4922.74,,
1000054,Customer_53,P01685,F,26-35,32,1,Delhi,Central,IT Sector,Electronics & Gadgets,2,4895.16,,
1000055,Customer_54,P04043,F,18-25,20,0,Uttar Pradesh,Central,Agriculture,Footwear & Shoes,2,3104.55,,
1000056,Customer_55,P07655,M,46-50,47,0,Madhya Pradesh,Central,Food Processing,Food,4,4733.7,,
1000057,Customer_56,P03173,M,46-50,48,1,Delhi,Central,Healthcare,Bliss Balls,2,6470.95,,
1000058,Customer_57,P01121,M,26-35,31,1,Uttar Pradesh,Central,Govt,Veterinary,1,2404.5,,
1000059,Customer_58,P03943,F,46-50,47,0,Uttar Pradesh,Central,Food Processing,Stationery,4,6129.08,,
1000060,Customer_59,P08089,M,36-45,39,0,Madhya Pradesh,Central,Aviation,Clothing & Apparel,2,7489.91,,
1000061,Customer_60,P09792,M,36-45,38,0,Karnataka,Southern,Construction,Office,2,2334.37,,
1000062,Customer_61,P06973,F,46-50,50,1,Madhya Pradesh,Central,Food Processing,Tupperware,3,10971.74,,
1000063,Customer_62,P05775,M,26-35,32,1,Karnataka,Southern,Banking,Clothing & Apparel,4,,,
1000064,Customer_63,P00261,F,26-35,30,1,Karnataka,Southern,Agriculture,Clothing & Apparel,4,10351.27,,
1000065,Customer_64,P04397,F,26-35,28,0,Haryana,Northern,Healthcare,Food,1,43039.87,,
1000066,Customer_65,P01095,F,36-45,42,1,Haryana,Northern,Agriculture,Electronics & Gadgets,1,2500.32,,
1000067,Customer_66,P07729,F,36-45,41,1,Gujarat,Western,Food Processing,Office,2,4541.61,,
1000068,Customer_67,P09567,F,46-50,46,0,Haryana,Northern,Food Processing,Food,3,3107.94,,
1000069,Customer_68,P01116,F,46-50,46,1,Uttar Pradesh,Central,IT Sector,Furniture,4,5686.53,,
1000070,Customer_69,P07969,M,36-45,42,1,Uttar Pradesh,Central,Automobile,Electronics & Gadgets,1,16427.11,,
1000071,Customer_70,P06539,F,46-50,47,0,Uttar Pradesh,Central,Aviation,Veterinary,4,23211.2,,
1000072,Customer_71,P07992,M,26-35,28,0,Tamil Nadu,Southern,Govt,Tupperware,2,16646.75,,
1000073,Customer_72,P06963,F,18-25,21,0,Delhi,Central,IT Sector,Tupperware,3,11397.06,,
1000074,Customer_73,P08016,F,46-50,48,1,Uttar Pradesh,Central,Healthcare,Footwear & Shoes,1,12104.62,,
1000075,Customer_74,P08629,M,18-25,22,1,Delhi,Central,Aviation,Electronics & Gadgets,2,3026.99,,
1000076,Customer_75,P00978,F,26-35,32,1,Madhya Pradesh,Central,Automobile,Furniture,3,4287.65,,
1000077,Customer_76,P09368,F,36-45,40,0,Uttar Pradesh,Central,Govt,Veterinary,2,5619.16,,
1000078,Customer_77,P04987,M,26-35,32,1,Karnataka,Southern,IT Sector,Tupperware,4,2411.51,,
1000079,Customer_78,P04959,M,46-50,50,0,Maharashtra,Western,Aviation,Electronics & Gadgets,4,15791.92,,
1000080,Customer_79,P06431,F,26-35,29,0,Tamil Nadu,Southern,Agriculture,Clothing & Apparel,2,4362.25,,
1000081,Customer_80,P08671,F,0-17,14,0,Maharashtra,Western,IT Sector,Food,1,2429.65,,
1000082,Customer_81,P08784,F,26-35,30,0,Madhya Pradesh,Central,Healthcare,Stationery,2,2607.14,,
1000083,Customer_82,P07308,F,36-45,39,1,Gujarat,Western,Healthcare,Veterinary,3,29918.58,,
1000084,Customer_83,P05376,F,26-35,28,0,Haryana,Northern,Healthcare,Stationery,2,21441.93,,
1000085,Customer_84,P02162,F,36-45,41,0,Karnataka,Southern,IT Sector,Bliss Balls,3,27503.25,,
1000086,Customer_85,P00164,M,46-50,46,1,Maharashtra,Western,Healthcare,Food,3,27118.15,,
1000087,Customer_86,P08106,F,51-55,51,1,Rajasthan,Western,Govt,Electronics & Gadgets,3,14852.89,,
1000088,Customer_87,P02668,F,26-35,32,0,Maharashtra,Western,Automobile,Food,2,4583.36,,
1000089,Customer_88,P05563,F,26-35,31,0,Madhya Pradesh,Central,Automobile,Bliss Balls,4,5141.61,,
1000090,Customer_89,P02127,F,36-45,42,0,Haryana,Northern,IT Sector,Clothing & Apparel,4,6113.34,,
1000091,Customer_90,P02795,M,51-55,52,1,Haryana,Northern,Govt,Tupperware,2,14297.04,,
1000092,Customer_91,P09787,F,55+,57,1,Uttar Pradesh,Central,Aviation,Tupperware,3,22913.57,,
1000093,Customer_92,P05358,M,26-35,31,1,Delhi,Central,Food Processing,Tupperware,2,6642.98,,
1000094,Customer_93,P05718,M,36-45,40,0,Karnataka,Southern,Aviation,Office,4,4870.29,,
1000095,Customer_94,P06836,F,26-35,29,1,Tamil Nadu,Southern,Textile,Veterinary,4,4225.53,,
1000096,Customer_95,P00491,M,0-17,13,1,Delhi,Central,Govt,Clothing & Apparel,4,4370.76,,
1000097,Customer_96,P05992,M,0-17,16,0,Karnataka,Southern,Banking,Clothing & Apparel,3,2055.26,,
1000098,Customer_97,P03661,F,26-35,31,1,Maharashtra,Western,Banking,Food,1,4133.96,,
1000099,Customer_98,P06284,F,26-35,29,1,Haryana,Northern,IT Sector,Furniture,1,4795.53,,
1000100,Customer_99,P03199,F,0-17,14,1,Maharashtra,Western,Automobile,Food,4,13954.18,,
1000101,Customer_100,P06378,F,36-45,42,1,Haryana,Northern,Textile,Footwear & Shoes,4,8361.94,,
1000102,Customer_101,P08492,F,26-35,32,1,Gujarat,Western,Banking,Footwear & Shoes,4,5216.93,,
1000103,Customer_102,P03204,F,36-45,38,1,Uttar Pradesh,Central,Textile,Electronics & Gadgets,2,,,
1000104,Customer_103,P07315,F,26-35,31,1,Delhi,Central,IT Sector,Footwear & Shoes,3,,,
1000105,Customer_104,P02554,M,26-35,30,1,Karnataka,Southern,Govt,Veterinary,3,9533.83,,
1000106,Customer_105,P09096,F,26-35,30,0,Karnataka,Southern,Automobile,Clothing & Apparel,3,2582.64,,
1000107,Customer_106,P02831,M,26-35,31,1,Karnataka,Southern,Healthcare,Food,2,4206.08,,
1000108,Customer_107,P08254,F,36-45,38,0,Delhi,Central,Aviation,Office,1,4693.46,,
1000109,Customer_108,P09862,F,26-35,32,0,Uttar Pradesh,Central,Textile,Footwear & Shoes,2,5607.05,,
1000110,Customer_109,P05156,M,36-45,42,1,Haryana,Northern,Govt,Food,1,2199.47,,
1000111,Customer_110,P08210,F,26-35,32,1,Delhi,Central,Construction,Tupperware,3,12910.1,,
1000112,Customer_111,P03940,F,36-45,40,1,Karnataka,Southern,Construction,Clothing & Apparel,4,7084.52,,
1000113,Customer_112,P01128,F,36-45,40,1,Maharashtra,Western,Govt,Food,1,20151.78,,
1000114,Customer_113,P07485,M,18-25,20,1,Andhra Pradesh,Southern,IT Sector,Clothing & Apparel,4,7833.22,,
1000115,Customer_114,P00602,F,26-35,30,1,Rajasthan,Western,Automobile,Clothing & Apparel,1,37493.98,,
1000116,Customer_115,P07010,M,18-25,21,1,Karnataka,Southern,Aviation,Office,2,,,
1000117,Customer_116,P09162,F,36-45,40,0,Tamil Nadu,Southern,Banking,Clothing & Apparel,3,19433.54,,
1000118,Customer_117,P07038,M,26-35,32,1,Delhi,Central,Food Processing,Bliss Balls,2,30979.82,,
1000119,Customer_118,P04588,M,36-45,38,1,Tamil Nadu,Southern,Textile,Footwear & Shoes,3,7105.59,,
1000120,Customer_119,P00306,M,36-45,41,1,Tamil Nadu,Southern,Automobile,Food,3,10021.63,,
1000121,Customer_120,P05234,M,51-55,54,1,Andhra Pradesh,Southern,Healthcare,Food,3,21630.74,,
1000122,Customer_121,P06077,F,36-45,38,1,Andhra Pradesh,Southern,Healthcare,Food,4,8851.01,,
1000123,Customer_122,P07821,M,36-45,39,0,Uttar Pradesh,Central,IT Sector,Electronics & Gadgets,2,2433.9,,
1000124,Customer_123,P07135,F,26-35,31,0,Gujarat,Western,Govt,Stationery,2,11551.81,,
1000125,Customer_124,P01584,F,51-55,55,1,Rajasthan,Western,Agriculture,Clothing & Apparel,3,23957.99,,
1000126,Customer_125,P07958,F,36-45,41,1,Delhi,Central,Food Processing,Electronics & Gadgets,1,14155.57,,
1000127,Customer_126,P00963,F,26-35,31,0,Maharashtra,Western,Govt,Bliss Balls,3,14533.4,,
1000128,Customer_127,P02890,F,46-50,50,1,Haryana,Northern,Textile,Office,1,2660.57,,
1000129,Customer_128,P07508,M,26-35,30,1,Maharashtra,Western,Agriculture,Veterinary,2,12696.58,,
1000130,Customer_129,P08855,M,46-50,47,0,Delhi,Central,Aviation,Electronics & Gadgets,4,2262.28,,
1000131,Customer_130,P05216,F,46-50,50,1,Maharashtra,Western,Govt,Tupperware,2,23350.4,,
1000132,Customer_131,P06119,M,26-35,32,0,Rajasthan,Western,Healthcare,Electronics & Gadgets,1,21655.7,,
1000133,Customer_132,P01857,F,36-45,38,1,Rajasthan,Western,IT Sector,Office,4,33408.76,,
1000134,Customer_133,P07674,M,26-35,29,0,Maharashtra,Western,Banking,Electronics & Gadgets,2,4890.01,,
1000135,Customer_134,P06474,M,26-35,30,1,Uttar Pradesh,Central,Construction,Bliss Balls,2,8217.0,,
1000136,Customer_135,P06992,M,26-35,32,1,Uttar Pradesh,Central,Govt,Tupperware,1,8916.46,,
1000137,Customer_136,P01778,F,36-45,40,1,Andhra Pradesh,Southern,Agriculture,Footwear & Shoes,2,8508.53,,
1000138,Customer_137,P03342,F,26-35,32,1,Uttar Pradesh,Central,Automobile,Tupperware,1,6250.5,,
1000139,Customer_138,P04736,M,0-17,17,0,Maharashtra,Western,IT Sector,Clothing & Apparel,1,36680.14,,
1000140,Customer_139,P01159,F,36-45,38,1,Haryana,Northern,Healthcare,Electronics & Gadgets,3,19421.25,,
1000141,Customer_140,P06768,F,26-35,31,1,Uttar Pradesh,Central,IT Sector,Bliss Balls,2,9540.08,,
1000142,Customer_141,P03257,F,18-25,21,0,Andhra Pradesh,Southern,Food Processing,Electronics & Gadgets,4,10347.06,,
1000143,Customer_142,P06015,M,26-35,28,1,Karnataka,Southern,Textile,Tupperware,3,12021.06,,
1000144,Customer_143,P09889,M,26-35,30,0,Uttar Pradesh,Central,Healthcare,Tupperware,1,9404.6,,
1000145,Customer_144,P02793,F,26-35,32,1,Delhi,Central,Construction,Office,2,11834.9,,
1000146,Customer_145,P03727,F,18-25,24,0,Delhi,Central,Banking,Electronics & Gadgets,2,15564.15,,
1000147,Customer_146,P09655,F,55+,57,0,Karnataka,Southern,Aviation,Furniture,1,32489.24,,
1000148,Customer_147,P05550,F,36-45,38,1,Uttar Pradesh,Central,Textile,Stationery,4,17127.35,,
1000149,Customer_148,P01763,M,26-35,28,0,Maharashtra,Western,Aviation,Food,3,3108.15,,
1000150,Customer_149,P09821,M,26-35,30,1,Karnataka,Southern,Automobile,Veterinary,1,8324.32,,
1000151,Customer_150,P05692,F,26-35,28,1,Maharashtra,Western,Automobile,Veterinary,2,9995.4,,
1000152,Customer_151,P07492,M,36-45,38,0,Uttar Pradesh,Central,Construction,Electronics & Gadgets,1,4471.1,,
1000153,Customer_152,P01406,F,18-25,23,0,Delhi,Central,Food Processing,Clothing & Apparel,3,7162.82,,
1000154,Customer_153,P06876,M,26-35,29,0,Karnataka,Southern,Govt,Food,1,23587.9,,
1000155,Customer_154,P05964,F,46-50,46,1,Madhya Pradesh,Central,Govt,Tupperware,1,4397.85,,
1000156,Customer_155,P09574,M,26-35,30,0,Delhi,Central,Automobile,Clothing & Apparel,4,5053.43,,
1000157,Customer_156,P07626,M,26-35,32,1,Uttar Pradesh,Central,IT Sector,Footwear & Shoes,2,21112.88,,
1000158,Customer_157,P09001,F,46-50,46,0,Madhya Pradesh,Central,Healthcare,Food,1,2792.96,,
1000159,Customer_158,P05675,F,36-45,38,0,Delhi,Central,Construction,Food,2,18973.2,,
1000160,Customer_159,P05630,M,26-35,32,0,Uttar Pradesh,Central,IT Sector,Bliss Balls,4,4897.18,,
1000161,Customer_160,P04513,M,36-45,41,1,Uttar Pradesh,Central,Automobile,Food,3,7520.19,,
1000162,Customer_161,P03848,F,0-17,14,0,Andhra Pradesh,Southern,IT Sector,Food,1,10236.79,,
1000163,Customer_162,P00763,F,36-45,41,0,Andhra Pradesh,Southern,Aviation,Footwear & Shoes,4,10317.87,,
1000164,Customer_163,P02098,M,26-35,30,1,Haryana,Northern,Automobile,Veterinary,4,33288.41,,
1000165,Customer_164,P08094,F,46-50,46,0,Rajasthan,Western,Automobile,Food,4,2283.14,,
1000166,Customer_165,P01595,M,51-55,54,1,Haryana,Northern,Govt,Electronics & Gadgets,2,11734.19,,
1000167,Customer_166,P03404,F,51-55,52,1,Maharashtra,Western,Banking,Tupperware,2,16946.6,,
1000168,Customer_167,P03863,F,51-55,53,0,Karnataka,Southern,Healthcare,Veterinary,4,9100.25,,
1000169,Customer_168,P05332,M,36-45,41,1,Uttar Pradesh,Central,Govt,Furniture,4,31746.36,,
1000170,Customer_169,P01953,F,26-35,28,1,Karnataka,Southern,Healthcare,Food,1,6325.69,,
1000171,Customer_170,P06685,M,26-35,29,1,Maharashtra,Western,IT Sector,Office,1,13085.94,,
1000172,Customer_171,P01391,M,36-45,38,0,Rajasthan,Western,IT Sector,Stationery,2,11276.28,,
1000173,Customer_172,P03681,F,51-55,51,0,Andhra Pradesh,Southern,Healthcare,Office,4,2254.92,,
1000174,Customer_173,P07654,F,26-35,30,1,Rajasthan,Western,IT Sector,Furniture,2,8437.83,,
1000175,Customer_174,P07380,F,51-55,52,0,Andhra Pradesh,Southern,Healthcare,Food,4,4418.78,,
1000176,Customer_175,P01736,M,46-50,50,1,Andhra Pradesh,Southern,Healthcare,Stationery,3,8018.93,,
1000177,Customer_176,P03796,F,55+,56,1,Maharashtra,Western,Aviation,Bliss Balls,3,19238.45,,
1000178,Customer_177,P00798,M,51-55,52,0,Madhya Pradesh,Central,Automobile,Food,3,9956.75,,
1000179,Customer_178,P04837,M,26-35,28,1,Uttar Pradesh,Central,Banking,Tupperware,1,9209.02,,
1000180,Customer_179,P00954,F,18-25,23,0,Maharashtra,Western,Textile,Veterinary,4,10928.66,,
1000181,Customer_180,P08264,F,18-25,23,0,Uttar Pradesh,Central,Textile,Tupperware,4,8011.59,,
1000182,Customer_181,P05955,F,26-35,29,1,Gujarat,Western,Textile,Office,1,6750.62,,
1000183,Customer_182,P07492,F,36-45,40,0,Gujarat,Western,Banking,Veterinary,3,5752.81,,
1000184,Customer_183,P06628,M,46-50,50,1,Haryana,Northern,IT Sector,Food,1,11633.78,,
1000185,Customer_184,P05349,F,51-55,54,1,Tamil Nadu,Southern,Food Processing,Clothing & Apparel,4,13959.34,,
1000186,Customer_185,P05272,M,36-45,40,1,Andhra Pradesh,Southern,Banking,Electronics & Gadgets,1,6402.62,,
1000187,Customer_186,P01807,M,0-17,17,1,Gujarat,Western,Automobile,Electronics & Gadgets,1,2357.72,,
1000188,Customer_187,P05891,F,26-35,31,0,Maharashtra,Western,Food Processing,Tupperware,1,8267.16,,
1000189,Customer_188,P05635,F,18-25,24,1,Karnataka,Southern,Govt,Food,3,8819.59,,
1000190,Customer_189,P05031,F,26-35,28,1,Delhi,Central,Construction,Electronics & Gadgets,1,7216.02,,
1000191,Customer_190,P03610,F,36-45,39,0,Uttar Pradesh,Central,Healthcare,Clothing & Apparel,3,5569.4,,
1000192,Customer_191,P00302,F,18-25,23,0,Haryana,Northern,Healthcare,Clothing & Apparel,3,20100.61,,
1000193,Customer_192,P04318,F,26-35,31,1,Uttar Pradesh,Central,Govt,Veterinary,1,7248.62,,
1000194,Customer_193,P09058,F,26-35,28,0,Rajasthan,Western,Govt,Food,1,14834.38,,
1000195,Customer_194,P04489,M,36-45,41,1,Gujarat,Western,Agriculture,Office,3,10122.91,,
1000196,Customer_195,P02427,M,26-35,31,1,Delhi,Central,Food Processing,Tupperware,1,14373.85,,
1000197,Customer_196,P08104,M,26-35,31,0,Uttar Pradesh,Central,Textile,Electronics & Gadgets,4,18808.06,,
1000198,Customer_197,P03031,F,26-35,31,1,Karnataka,Southern,Textile,Footwear & Shoes,3,4230.73,,
1000199,Customer_198,P07877,F,51-55,54,0,Uttar Pradesh,Central,Govt,Veterinary,2,16113.49,,
1000200,Customer_199,P00297,F,26-35,30,0,Uttar Pradesh,Central,Banking,Veterinary,2,12215.29,,
1000201,Customer_200,P07225,M,36-45,41,1,Rajasthan,Western,Construction,Bliss Balls,3,8587.38,,
1000202,Customer_201,P02030,M,36-45,38,0,Karnataka,Southern,Healthcare,Clothing & Apparel,2,8299.02,,
1000203,Customer_202,P06387,F,36-45,41,1,Uttar Pradesh,Central,Aviation,Office,4,4984.99,,
1000204,Customer_203,P08900,M,51-55,55,1,Uttar Pradesh,Central,Construction,Office,3,8223.29,,
1000205,Customer_204,P09439,F,26-35,32,1,Rajasthan,Western,Textile,Office,3,5880.61,,
1000206,Customer_205,P04382,M,26-35,28,0,Andhra Pradesh,Southern,Agriculture,Food,1,19572.11,,
1000207,Customer_206,P02611,F,18-25,22,1,Haryana,Northern,IT Sector,Food,4,8979.65,,
1000208,Customer_207,P00759,F,36-45,38,1,Maharashtra,Western,Healthcare,Tupperware,2,4842.32,,
1000209,Customer_208,P02911,F,26-35,30,1,Maharashtra,Western,Healthcare,Stationery,2,3247.38,,
1000210,Customer_209,P07198,F,26-35,29,0,Andhra Pradesh,Southern,Aviation,Food,1,11472.97,,
1000211,Customer_210,P06646,F,36-45,42,1,Madhya Pradesh,Central,IT Sector,Veterinary,3,10742.21,,
1000212,Customer_211,P09661,F,36-45,42,1,Uttar Pradesh,Central,Healthcare,Food,4,5570.97,,
1000213,Customer_212,P02086,F,18-25,24,1,Gujarat,Western,Automobile,Stationery,4,3415.55,,
1000214,Customer_213,P08438,F,36-45,40,0,Rajasthan,Western,Healthcare,Bliss Balls,1,12075.3,,
1000215,Customer_214,P03011,M,36-45,38,0,Uttar Pradesh,Central,Textile,Clothing & Apparel,2,4522.01,,
1000216,Customer_215,P01834,F,26-35,30,0,Uttar Pradesh,Central,Banking,Food,3,17844.62,,
1000217,Customer_216,P01943,F,26-35,32,0,Rajasthan,Western,IT Sector,Electronics & Gadgets,4,12363.72,,
1000218,Customer_217,P08780,F,36-45,42,0,Gujarat,Western,Food Processing,Footwear & Shoes,3,19834.18,,
1000219,Customer_218,P03076,M,36-45,42,1,Maharashtra,Western,Agriculture,Footwear & Shoes,1,35383.1,,
1000220,Customer_219,P02059,M,26-35,32,1,Maharashtra,Western,Agriculture,Office,3,5336.44,,
1000221,Customer_220,P05859,F,26-35,29,0,Delhi,Central,Banking,Stationery,2,7610.45,,
1000222,Customer_221,P06794,F,36-45,42,1,Madhya Pradesh,Central,Agriculture,Electronics & Gadgets,4,,,
1000223,Customer_222,P02485,F,51-55,53,0,Andhra Pradesh,Southern,Automobile,Food,4,2646.16,,
1000224,Customer_223,P04836,M,36-45,42,1,Rajasthan,Western,Healthcare,Electronics & Gadgets,2,6153.15,,
1000225,Customer_224,P01902,M,18-25,23,0,Uttar Pradesh,Central,Govt,Veterinary,2,6692.98,,
1000226,Customer_225,P08255,M,26-35,29,0,Delhi,Central,Banking,Tupperware,3,3523.43,,
1000227,Customer_226,P08220,M,51-55,55,0,Delhi,Central,Banking,Food,1,19186.05,,
1000228,Customer_227,P06716,M,18-25,23,1,Gujarat,Western,Banking,Clothing & Apparel,4,4767.43,,
1000229,Customer_228,P05634,F,55+,58,0,Gujarat,Western,IT Sector,Veterinary,2,13369.75,,
1000230,Customer_229,P04161,M,51-55,52,1,Rajasthan,Western,Aviation,Veterinary,3,2634.68,,
1000231,Customer_230,P00362,F,18-25,24,1,Haryana,Northern,Banking,Tupperware,4,2244.4,,
1000232,Customer_231,P06387,F,51-55,53,1,Rajasthan,Western,Healthcare,Clothing & Apparel,1,45203.95,,
1000233,Customer_232,P08915,F,26-35,31,1,Madhya Pradesh,Central,IT Sector,Food,3,3050.15,,
1000234,Customer_233,P09308,F,46-50,47,1,Maharashtra,Western,Healthcare,Clothing & Apparel,2,13614.65,,
1000235,Customer_234,P02149,F,26-35,32,0,Andhra Pradesh,Southern,Healthcare,Bliss Balls,4,9421.18,,
1000236,Customer_235,P05523,F,26-35,30,0,Gujarat,Western,Banking,Footwear & Shoes,3,6825.76,,
1000237,Customer_236,P04648,F,36-45,39,1,Rajasthan,Western,Healthcare,Electronics & Gadgets,2,2300.96,,
1000238,Customer_237,P03208,M,36-45,41,1,Andhra Pradesh,Southern,Automobile,Food,2,5187.46,,
1000239,Customer_238,P07258,M,18-25,24,0,Maharashtra,Western,Aviation,Electronics & Gadgets,2,20427.93,,
1000240,Customer_239,P07500,F,36-45,39,1,Madhya Pradesh,Central,Agriculture,Electronics & Gadgets,4,20843.88,,
1000241,Customer_240,P03270,F,26-35,31,0,Karnataka,Southern,IT Sector,Office,2,9324.3,,
1000242,Customer_241,P09974,F,26-35,31,1,Uttar Pradesh,Central,Healthcare,Furniture,3,8839.21,,
1000243,Customer_242,P02355,F,26-35,30,0,Maharashtra,Western,Construction,Office,4,6435.41,,
1000244,Customer_243,P01254,M,26-35,31,0,Karnataka,Southern,Automobile,Electronics & Gadgets,3,13953.35,,
1000245,Customer_244,P04599,F,26-35,31,1,Tamil Nadu,Southern,Banking,Footwear & Shoes,1,19160.87,,
1000246,Customer_245,P06395,F,18-25,20,1,Rajasthan,Western,Agriculture,Office,1,12401.16,,
1000247,Customer_246,P06297,F,18-25,23,1,Maharashtra,Western,IT Sector,Food,1,7960.34,,
1000248,Customer_247,P09988,F,18-25,24,1,Rajasthan,Western,Banking,Footwear & Shoes,1,10053.96,,
